symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
SZSE.399303,1d,5855.157,5922.02,5855.157,5871.542,12788070144,115273113600.0,5845.413,0,2019-07-19 00:00:00+08:00,2019-07-19 00:00:00+08:00
SHSE.000852,1d,5205.727,5263.339,5205.701,5220.027,8770604800,80605048832.0,5194.601,0,2019-07-19 00:00:00+08:00,2019-07-19 00:00:00+08:00
SHSE.000300,1d,3787.508,3828.151,3787.508,3807.955,8808614900,117797528166.0,3768.402,0,2019-07-19 00:00:00+08:00,2019-07-19 00:00:00+08:00
SHSE.000905,1d,4861.212,4920.413,4861.203,4878.69,6859729920,57390762240.0,4844.108,0,2019-07-19 00:00:00+08:00,2019-07-19 00:00:00+08:00
SHSE.000300,1d,3813.502,3816.539,3765.443,3781.683,9210137700,117810448146.0,3807.955,0,2019-07-22 00:00:00+08:00,2019-07-22 00:00:00+08:00
SZSE.399303,1d,5871.049,5871.549,5688.08,5689.845,14213103104,119273639936.0,5871.542,0,2019-07-22 00:00:00+08:00,2019-07-22 00:00:00+08:00
SHSE.000905,1d,4885.429,4886.402,4766.071,4776.574,7219157760,61198813696.0,4878.69,0,2019-07-22 00:00:00+08:00,2019-07-22 00:00:00+08:00
SHSE.000985,1d,4203.722,4205.67,4123.076,4133.447,35705772680,344020861663.0,4199.316,0,2019-07-22 00:00:00+08:00,2019-07-22 00:00:00+08:00
SHSE.000852,1d,5222.063,5222.343,5067.098,5073.333,9879986000,85364469420.0,5220.027,0,2019-07-22 00:00:00+08:00,2019-07-22 00:00:00+08:00
SZSE.399303,1d,5692.16,5766.38,5692.16,5766.38,10907429888,96207867904.0,5689.845,0,2019-07-23 00:00:00+08:00,2019-07-23 00:00:00+08:00
SHSE.000300,1d,3783.541,3792.965,3768.761,3789.914,7131334600,103866608769.0,3781.683,0,2019-07-23 00:00:00+08:00,2019-07-23 00:00:00+08:00
SHSE.000905,1d,4778.052,4823.918,4778.052,4823.918,5472926208,48300963584.0,4776.574,0,2019-07-23 00:00:00+08:00,2019-07-23 00:00:00+08:00
SHSE.000985,1d,4134.84,4159.726,4130.917,4159.726,27273898346,285331142572.0,4133.447,0,2019-07-23 00:00:00+08:00,2019-07-23 00:00:00+08:00
SHSE.000852,1d,5072.769,5131.097,5072.769,5131.097,7424977800,66786575959.0,5073.333,0,2019-07-23 00:00:00+08:00,2019-07-23 00:00:00+08:00
SHSE.000905,1d,4837.766,4898.805,4837.766,4873.027,6945138432,63586100224.0,4823.918,0,2019-07-24 00:00:00+08:00,2019-07-24 00:00:00+08:00
SZSE.399303,1d,5779.764,5868.37,5779.689,5841.793,13413445376,120863477760.0,5766.38,0,2019-07-24 00:00:00+08:00,2019-07-24 00:00:00+08:00
SHSE.000852,1d,5141.944,5219.149,5141.9,5194.829,9197206500,83093607435.0,5131.097,0,2019-07-24 00:00:00+08:00,2019-07-24 00:00:00+08:00
SHSE.000985,1d,4172.566,4219.803,4172.566,4199.816,34074890717,358705206877.0,4159.726,0,2019-07-24 00:00:00+08:00,2019-07-24 00:00:00+08:00
SHSE.000300,1d,3803.587,3840.058,3803.574,3819.833,9094068400,129940587223.0,3789.914,0,2019-07-24 00:00:00+08:00,2019-07-24 00:00:00+08:00
SZSE.399303,1d,5844.151,5871.682,5831.546,5858.862,12807965696,118898319360.0,5841.793,0,2019-07-25 00:00:00+08:00,2019-07-25 00:00:00+08:00
